#hjul	vrad	svrad
#---	----	-----
54294.5084 -2.0865 0.0033
54298.3704 -2.2320 0.0037
54298.6022 -2.1180 0.0034
54299.6075 -2.3931 0.0034
54300.3518 -2.3702 0.0034
54300.6136 -2.2123 0.0035
54301.3613 -2.1437 0.0034
54302.3864 -2.4464 0.0035
54303.6148 -2.1555 0.0035
54304.3853 -2.4705 0.0035
54306.3676 -2.4206 0.0038
54306.5803 -2.4638 0.0036
54306.6077 -2.4644 0.0033
54307.3669 -2.1593 0.0034
54307.4946 -2.1057 0.0033
54307.5826 -2.0795 0.0033
54308.3698 -2.3264 0.0033
54308.5947 -2.4465 0.0033
54309.4000 -2.2859 0.0034
54309.5121 -2.2181 0.0033
54315.5672 -2.4759 0.0038
54316.3922 -2.1139 0.0034
54316.5673 -2.0794 0.0034
54317.4941 -2.4306 0.0034
54317.6281 -2.4652 0.0034
54318.3294 -2.2216 0.0036
54318.5691 -2.1097 0.0034
54328.3935 -2.3662 0.0033
54328.5365 -2.4255 0.0042
54330.3345 -2.1936 0.0037
54334.3945 -2.0675 0.0034
54335.3983 -2.4625 0.0035
54336.4651 -2.0804 0.0034

